Palabra;Fuente;Negativo;Neutra;Positiva;Puntuacion
emprendedor;diccionario;1;0;0;-5
en mal estado;diccionario;0;0;1;1
encalar;diccionario;0;0;1;1
encantada;diccionario;0;0;1;3
Encantado;diccionario;0;0;1;3
encantador;diccionario;1;0;0;-1
encantados;diccionario;0;0;1;4
encanto;diccionario;0;1;0;0
encarcelado;diccionario;0;0;1;5
enconado;diccionario;1;0;0;-4
endosado;diccionario;1;0;0;-4
endosar;diccionario;0;1;0;0
enemigo;diccionario;1;0;0;-3
enemigos;diccionario;0;1;0;0
energético;diccionario;0;0;1;2
enérgico;diccionario;0;0;1;1
enfado;diccionario;1;0;0;-2
enfermedad;diccionario;0;0;1;3
enfermedades;diccionario;0;0;1;3
enfermo;diccionario;1;0;0;-2
enfermos;diccionario;0;0;1;5
enfocado;diccionario;0;0;1;5
enfurece;diccionario;0;0;1;4
Enfurecedora;diccionario;0;0;1;1
enfurecer;diccionario;1;0;0;-4
enfurecido;diccionario;0;0;1;5
engancha;diccionario;1;0;0;-3
engaña;diccionario;1;0;0;-3
engañado;diccionario;0;0;1;3
engañar;diccionario;1;0;0;-4
engaño;diccionario;0;0;1;3
engañoso;diccionario;1;0;0;-4
engreído;diccionario;0;0;1;1
enhorabuena;diccionario;1;0;0;-5
enjuicia;diccionario;1;0;0;-2
enjuiciamiento;diccionario;0;0;1;1
enjuiciar;diccionario;1;0;0;-5
enloquecedor;diccionario;0;0;1;4
enojado;diccionario;0;0;1;1
enorme;diccionario;0;0;1;4
enragés;diccionario;0;0;1;4
ensordecedor;diccionario;1;0;0;-5
entender mal;diccionario;0;1;0;0
entiende mal;diccionario;0;0;1;3
entretener;diccionario;1;0;0;-2
entretenido;diccionario;0;0;1;5
entristecer;diccionario;1;0;0;-1
entristecido;diccionario;1;0;0;-2
entumecido;diccionario;1;0;0;-2
entusiasta;diccionario;1;0;0;-1
envenenado;diccionario;0;0;1;5
envidia;diccionario;1;0;0;-1
envidias;diccionario;1;0;0;-3
envidioso;diccionario;1;0;0;-5
envío de correo basura;diccionario;0;0;1;1
equivocado;diccionario;0;0;1;1
erróneo;diccionario;0;0;1;3
error;diccionario;1;0;0;-3
errores;diccionario;1;0;0;-5
erupción;diccionario;0;0;1;4
es una pena;diccionario;0;1;0;0
escalofriante;diccionario;1;0;0;-1
escándalo;diccionario;0;0;1;2
escándalos;diccionario;1;0;0;-1
escandaloso;diccionario;0;0;1;3
escapa;diccionario;1;0;0;-4
escapar;diccionario;0;1;0;0
escasez;diccionario;0;0;1;2
escepticismo;diccionario;1;0;0;-1
escéptico;diccionario;1;0;0;-5
escépticos;diccionario;1;0;0;-2
esclarecedor;diccionario;1;0;0;-2
esclavitud;diccionario;0;0;1;3
esclaviza;diccionario;1;0;0;-1
esclavizado;diccionario;1;0;0;-5
esclavizar;diccionario;0;0;1;4
esconder;diccionario;0;0;1;3
escondido;diccionario;1;0;0;-2
escoria;diccionario;0;1;0;0
esmeradamente;diccionario;0;1;0;0
espalda;diccionario;0;0;1;4
espantado;diccionario;0;0;1;3
especulativo;diccionario;1;0;0;-1
Espera;diccionario;1;0;0;-3
esperado;diccionario;1;0;0;-5
esperando;diccionario;0;0;1;2
esperanza;diccionario;1;0;0;-4
esperanzado;diccionario;1;0;0;-3
esperanzas;diccionario;0;0;1;5
esperar;diccionario;1;0;0;-1
espinoso;diccionario;1;0;0;-4
espíritu;diccionario;1;0;0;-2
espléndido;diccionario;0;0;1;1
espumoso;diccionario;1;0;0;-3
está de acuerdo;diccionario;1;0;0;-2
está de duelo;diccionario;1;0;0;-4
estable;diccionario;1;0;0;-3
establecido;diccionario;0;0;1;3
estafa;diccionario;1;0;0;-3
estafas;diccionario;0;0;1;3
estampida;diccionario;1;0;0;-5
estancado;diccionario;0;0;1;5
estancamiento;diccionario;1;0;0;-3
estar al acecho;diccionario;0;1;0;0
estereotipo;diccionario;0;0;1;5
esteriotipado;diccionario;1;0;0;-2
estimado;diccionario;0;0;1;3
estimula;diccionario;1;0;0;-5
estimulado;diccionario;1;0;0;-4
estimulante;diccionario;0;0;1;3
estimular;diccionario;0;0;1;5
estragos;diccionario;1;0;0;-3
estrangulado;diccionario;0;1;0;0
estranguladores;diccionario;1;0;0;-3
estresado;diccionario;1;0;0;-3
estresor;diccionario;0;0;1;5
estupendo;diccionario;0;0;1;5
estúpidamente;diccionario;1;0;0;-1
Estúpido;diccionario;1;0;0;-5
ético;diccionario;0;0;1;2
euforia;diccionario;1;0;0;-4
eufórico;diccionario;0;0;1;4
evita;diccionario;0;0;1;2
evitado;diccionario;1;0;0;-3
evitar;diccionario;0;0;1;2
exagera;diccionario;1;0;0;-2
exageración;diccionario;0;1;0;0
exageraciones;diccionario;1;0;0;-4
exagerado;diccionario;1;0;0;-2
exagerando;diccionario;0;0;1;3
exagerar;diccionario;0;0;1;3
exaltado;diccionario;1;0;0;-4
exasperada;diccionario;0;0;1;4
exasperante;diccionario;0;0;1;4
excelencia;diccionario;1;0;0;-3
excelente;diccionario;1;0;0;-5
excepcional;diccionario;1;0;0;-5
exceso de peso;diccionario;1;0;0;-2
excitar;diccionario;0;0;1;5
excluidos;diccionario;0;0;1;3
excluir;diccionario;0;0;1;4
exclusión;diccionario;0;0;1;2
exclusivo;diccionario;1;0;0;-3
excusa;diccionario;1;0;0;-3
exhaustivo;diccionario;1;0;0;-3
exigente;diccionario;1;0;0;-1
exigido;diccionario;0;0;1;1
eximir;diccionario;1;0;0;-4
éxito;diccionario;1;0;0;-1
éxito de taquilla;diccionario;1;0;0;-1
exitoso;diccionario;1;0;0;-3
exonera;diccionario;0;1;0;0
exonerado;diccionario;1;0;0;-3
exonerando;diccionario;0;0;1;2
exonerar;diccionario;0;0;1;5
expande;diccionario;0;0;1;1
expandir;diccionario;1;0;0;-5
exploits;diccionario;1;0;0;-5
exploración;diccionario;1;0;0;-4
exploraciones;diccionario;0;1;0;0
explotado;diccionario;1;0;0;-5
explotando;diccionario;1;0;0;-1
explotar;diccionario;1;0;0;-4
expone;diccionario;0;0;1;5
exponer;diccionario;1;0;0;-3
exposición;diccionario;1;0;0;-4
expuesto;diccionario;0;0;1;4
expulsa;diccionario;0;0;1;2
expulsado;diccionario;0;0;1;2
expulsando;diccionario;0;0;1;1
expulsar;diccionario;0;1;0;0
extasiar;diccionario;0;1;0;0
éxtasis;diccionario;1;0;0;-3
extático;diccionario;0;0;1;3
extrañamente;diccionario;1;0;0;-5
extraño;diccionario;0;0;1;3
exuberante;diccionario;0;1;0;0
exultante;diccionario;1;0;0;-5
fabuloso;diccionario;1;0;0;-4
fácil;diccionario;0;0;1;5
facilitar;diccionario;1;0;0;-1
factores de estrés;diccionario;1;0;0;-4
faggots;diccionario;1;0;0;-1
falla;diccionario;1;0;0;-2
fallar;diccionario;1;0;0;-1
falsificación;diccionario;0;0;1;1
falsificaciones;diccionario;0;0;1;3
falsificado;diccionario;0;0;1;2
falsificar;diccionario;1;0;0;-5
falta de respeto;diccionario;1;0;0;-3
fama;diccionario;1;0;0;-4
famélico;diccionario;1;0;0;-1
fanático;diccionario;0;0;1;2
fanáticos;diccionario;0;0;1;3
fantasma;diccionario;1;0;0;-3
fantástico;diccionario;0;1;0;0
farsa;diccionario;1;0;0;-3
fascina;diccionario;0;0;1;3
fascinado;diccionario;0;0;1;4
fascinante;diccionario;0;0;1;5
fascinar;diccionario;0;0;1;2
fascista;diccionario;0;0;1;5
fascistas;diccionario;0;0;1;4
fastidioso;diccionario;1;0;0;-2
fatalidad;diccionario;0;0;1;2
fatiga;diccionario;1;0;0;-2
fatigado;diccionario;1;0;0;-4
fatigas;diccionario;1;0;0;-1
fatigoso;diccionario;1;0;0;-5
favor;diccionario;1;0;0;-3
favorecido;diccionario;0;1;0;0
favores;diccionario;1;0;0;-4
favorito;diccionario;0;1;0;0
favoritos;diccionario;0;0;1;2
fe;diccionario;1;0;0;-4
felicidad;diccionario;0;0;1;1
felicidades;diccionario;0;0;1;3
felicitaciones;diccionario;0;0;1;4
felicitar;diccionario;0;0;1;3
feliz;diccionario;0;0;1;4
feo;diccionario;1;0;0;-3
ferviente;diccionario;0;0;1;4
fervoroso;diccionario;1;0;0;-1
festivo;diccionario;1;0;0;-2
fiasco;diccionario;0;0;1;1
fiel;diccionario;1;0;0;-2
filtrada;diccionario;0;0;1;3
finge;diccionario;1;0;0;-5
fingir;diccionario;0;0;1;1
firme;diccionario;1;0;0;-5
flop;diccionario;0;1;0;0
fóbico;diccionario;0;0;1;3
follada;diccionario;1;0;0;-4
fortalece;diccionario;0;1;0;0
fortalecer;diccionario;1;0;0;-2
fortalecimiento;diccionario;1;0;0;-3
fortificado;diccionario;0;0;1;4
forzado;diccionario;1;0;0;-1
fracaso;diccionario;0;0;1;5
fracasos;diccionario;1;0;0;-4
frase;diccionario;0;0;1;5
frases;diccionario;1;0;0;-2
fraude;diccionario;1;0;0;-4
fraudes;diccionario;0;0;1;2
fraudulento;diccionario;0;0;1;5
frenesí;diccionario;0;0;1;2
frenético;diccionario;0;1;0;0
Fresco;diccionario;0;0;1;4
frikin;diccionario;0;0;1;1
frotis;diccionario;1;0;0;-5
frustra;diccionario;0;0;1;2
frustración;diccionario;0;0;1;1
frustrado;diccionario;0;0;1;4
frustrante;diccionario;1;0;0;-3
frustrar;diccionario;1;0;0;-1
ftw;diccionario;0;0;1;1
Fuckface;diccionario;1;0;0;-2
fuckhead;diccionario;0;0;1;4
fucktard;diccionario;0;0;1;2
FUD;diccionario;1;0;0;-2
fuego;diccionario;0;0;1;5
fuerte;diccionario;0;1;0;0
fuerza;diccionario;1;0;0;-4
fuga;diccionario;0;0;1;4
fuked;diccionario;1;0;0;-4
fuking;diccionario;1;0;0;-3
fumante;diccionario;1;0;0;-2
funeral;diccionario;0;1;0;0
funerales;diccionario;1;0;0;-4
furioso;diccionario;1;0;0;-3
furtivo;diccionario;1;0;0;-2
fútil;diccionario;1;0;0;-5
galante;diccionario;1;0;0;-4
galantería;diccionario;1;0;0;-2
galardonado;diccionario;1;0;0;-3
gallardamente;diccionario;0;1;0;0
gamberrismo;diccionario;1;0;0;-4
gamberro;diccionario;1;0;0;-5
ganado;diccionario;0;0;1;1
ganador;diccionario;0;0;1;2
ganancia;diccionario;1;0;0;-5
ganancias;diccionario;1;0;0;-1
ganando;diccionario;1;0;0;-3
ganar;diccionario;1;0;0;-1
garantía;diccionario;1;0;0;-4
gemía;diccionario;1;0;0;-2
gemido;diccionario;1;0;0;-3
gemidos;diccionario;0;0;1;5
generoso;diccionario;0;1;0;0
genial;diccionario;0;0;1;4
gilipollas;diccionario;0;1;0;0
glamour;diccionario;1;0;0;-4
gloria;diccionario;0;0;1;4
glorioso;diccionario;0;0;1;1
golpe;diccionario;1;0;0;-2
golpeado;diccionario;1;0;0;-3
gorrón;diccionario;1;0;0;-1
gracia;diccionario;0;0;1;1
gracias;diccionario;1;0;0;-5
gracioso;diccionario;0;1;0;0
grande;diccionario;1;0;0;-1
grandioso;diccionario;0;0;1;4
granizado;diccionario;0;0;1;3
granizo;diccionario;0;0;1;1
gratificación;diccionario;1;0;0;-5
gratificante;diccionario;1;0;0;-1
gratis;diccionario;0;1;0;0
grave;diccionario;1;0;0;-3
greenwasher;diccionario;1;0;0;-3
greenwashers;diccionario;0;0;1;3
gripe;diccionario;1;0;0;-3
gris;diccionario;0;1;0;0
gritado;diccionario;1;0;0;-5
gritando;diccionario;0;0;1;4
gritar;diccionario;0;0;1;5
grito;diccionario;1;0;0;-4
guarida;diccionario;0;0;1;3
Guau;diccionario;0;0;1;2
guay;diccionario;0;1;0;0
guerra;diccionario;1;0;0;-4
gustó;diccionario;0;1;0;0
gustos;diccionario;1;0;0;-5
ha fallado;diccionario;0;0;1;5
hábil;diccionario;0;0;1;3
habilidades;diccionario;1;0;0;-5
hacer daño;diccionario;1;0;0;-5
hacer descarrilar;diccionario;0;0;1;3
hacha;diccionario;0;0;1;1
hackeado;diccionario;0;0;1;3
hahahah;diccionario;1;0;0;-2
hambre;diccionario;1;0;0;-5
harto;diccionario;1;0;0;-4
herir;diccionario;0;0;1;5
hermosa;diccionario;0;0;1;3
hermosamente;diccionario;1;0;0;-5
héroe;diccionario;1;0;0;-5
héroes;diccionario;0;0;1;3
heroico;diccionario;0;0;1;4
hijo de puta;diccionario;0;0;1;5
hijos de puta;diccionario;1;0;0;-2
hipócrita;diccionario;1;0;0;-3
histeria;diccionario;0;0;1;2
histérico;diccionario;1;0;0;-5
histerismo;diccionario;0;0;1;4
homenaje;diccionario;1;0;0;-1
honesto;diccionario;1;0;0;-3
honor;diccionario;0;1;0;0
honrado;diccionario;0;0;1;5
hooligans;diccionario;0;0;1;3
horrendo;diccionario;1;0;0;-1
horrible;diccionario;1;0;0;-4
horrorizado;diccionario;1;0;0;-1
hosco;diccionario;0;0;1;5
hostil;diccionario;0;0;1;4
Huelga;diccionario;1;0;0;-1
huelgas;diccionario;0;1;0;0
humerous;diccionario;0;0;1;5
humillación;diccionario;1;0;0;-4
humillado;diccionario;1;0;0;-5
humor;diccionario;0;0;1;1
humorístico;diccionario;0;1;0;0
Hurra;diccionario;0;1;0;0
huye;diccionario;1;0;0;-1
idiota;diccionario;1;0;0;-5
ignora;diccionario;0;0;1;5
ignorado;diccionario;1;0;0;-4
ignorancia;diccionario;0;0;1;3
ignorante;diccionario;1;0;0;-3
ignorar;diccionario;1;0;0;-4
ilegal;diccionario;0;0;1;1
Ilumina;diccionario;0;0;1;1
iluminar;diccionario;0;1;0;0
ilustrado;diccionario;0;1;0;0
imbécil;diccionario;1;0;0;-4
impaciente;diccionario;0;1;0;0
impar;diccionario;0;0;1;3
Imparable;diccionario;1;0;0;-3
imparcial;diccionario;1;0;0;-3
impedido;diccionario;1;0;0;-3
imperfecto;diccionario;0;0;1;2
impermeable;diccionario;0;0;1;3
implacable;diccionario;1;0;0;-5
impone;diccionario;1;0;0;-4
imponente;diccionario;1;0;0;-4
imponer;diccionario;0;0;1;1
importancia;diccionario;1;0;0;-5
importante;diccionario;0;1;0;0
importar;diccionario;0;0;1;2
impotente;diccionario;0;0;1;3
impresiona;diccionario;1;0;0;-1
impresionado;diccionario;1;0;0;-4
impresionante;diccionario;1;0;0;-5
impresionar;diccionario;1;0;0;-2
impuesto;diccionario;1;0;0;-1
impulsado;diccionario;1;0;0;-2
impulsar;diccionario;1;0;0;-2
inacción;diccionario;0;0;1;4
inaceptable;diccionario;0;0;1;1
inadecuado;diccionario;1;0;0;-1
incapacidad;diccionario;1;0;0;-4
incapacitado;diccionario;0;1;0;0
incapacitante;diccionario;1;0;0;-1
incapaz;diccionario;1;0;0;-1
incierto;diccionario;0;0;1;5
incómodo;diccionario;1;0;0;-3
incompetencia;diccionario;1;0;0;-5
incompetente;diccionario;0;0;1;3
incomprendido;diccionario;1;0;0;-2
inconexo;diccionario;1;0;0;-3
inconfirmado;diccionario;0;1;0;0
inconsciente;diccionario;0;0;1;1
inconveniencia;diccionario;0;1;0;0
inconveniente;diccionario;0;0;1;4
incorrecto;diccionario;1;0;0;-3
incrédulo;diccionario;1;0;0;-4
increíble;diccionario;1;0;0;-3
incrementar;diccionario;1;0;0;-5
incumplida;diccionario;0;0;1;2
indeciso;diccionario;0;1;0;0
indefenso;diccionario;1;0;0;-4
indeseable;diccionario;0;0;1;5
indestructible;diccionario;0;0;1;4
indiferencia;diccionario;0;0;1;2
indiferente;diccionario;1;0;0;-1
indignación;diccionario;1;0;0;-5
indignado;diccionario;1;0;0;-3
indignados;diccionario;0;0;1;2
indigno de;diccionario;0;1;0;0
indulgente;diccionario;1;0;0;-1
indultos;diccionario;1;0;0;-2
ineficaz;diccionario;1;0;0;-1
ineficazmente;diccionario;0;0;1;1
inestable;diccionario;0;0;1;3
infantil;diccionario;0;0;1;2
infatuación;diccionario;1;0;0;-1
infectado;diccionario;1;0;0;-2
infeliz;diccionario;0;0;1;3
inferior;diccionario;0;0;1;5
infierno;diccionario;1;0;0;-1
influyente;diccionario;0;1;0;0
información errónea;diccionario;0;0;1;1
infortunio;diccionario;1;0;0;-1
infracción;diccionario;0;0;1;2
infractor;diccionario;0;0;1;5
ingenuo;diccionario;1;0;0;-5
inhibir;diccionario;0;0;1;5
injusticia;diccionario;1;0;0;-5
injusto;diccionario;0;0;1;5
inmortal;diccionario;1;0;0;-1
inmovilizado;diccionario;1;0;0;-4
inmune;diccionario;0;0;1;5
innova;diccionario;0;1;0;0
innovación;diccionario;0;0;1;5
innovador;diccionario;1;0;0;-5
innovar;diccionario;0;0;1;4
inquieto;diccionario;1;0;0;-3
inquisición;diccionario;0;0;1;4
inquisitivo;diccionario;1;0;0;-1
insalubre;diccionario;0;0;1;5
insano;diccionario;1;0;0;-3
insatisfecho;diccionario;0;1;0;0
inseguro;diccionario;0;0;1;4
insensibilidad;diccionario;0;1;0;0
insensible;diccionario;1;0;0;-4
insignificante;diccionario;1;0;0;-2
insípido;diccionario;0;0;1;4
insistente;diccionario;0;0;1;4
insomnio;diccionario;1;0;0;-2
inspira;diccionario;1;0;0;-4
inspiración;diccionario;0;0;1;5
Inspirado;diccionario;0;0;1;5
inspirador;diccionario;1;0;0;-2
inspirar;diccionario;1;0;0;-2
insultado;diccionario;1;0;0;-3
insultante;diccionario;1;0;0;-3
insulto;diccionario;0;1;0;0
insultos;diccionario;0;0;1;1
intacto;diccionario;0;1;0;0
integridad;diccionario;0;0;1;1
inteligente;diccionario;1;0;0;-1
intenso;diccionario;0;0;1;5
interesado;diccionario;0;0;1;2
interesante;diccionario;0;0;1;4
interesar;diccionario;1;0;0;-3
intereses;diccionario;0;0;1;5
interrogado;diccionario;1;0;0;-5
interrogatorio;diccionario;1;0;0;-1
interrumpido;diccionario;0;0;1;2
interrumpiendo;diccionario;0;0;1;2
interrumpir;diccionario;0;0;1;4
interrupción;diccionario;0;0;1;2
interrupciones;diccionario;1;0;0;-4
intimida;diccionario;1;0;0;-2
intimidación;diccionario;1;0;0;-2
intimidante;diccionario;0;1;0;0
intimidar;diccionario;1;0;0;-5
intitulado;diccionario;0;1;0;0
intrépido;diccionario;0;0;1;3
intrigas;diccionario;0;0;1;1
intrincado;diccionario;0;0;1;2
inútil;diccionario;0;0;1;4
inutilidad;diccionario;0;0;1;3
invencible;diccionario;0;0;1;4
invitación;diccionario;0;1;0;0
invulnerable;diccionario;0;0;1;1
ironía;diccionario;0;0;1;4
irónico;diccionario;0;1;0;0
irracional;diccionario;0;0;1;5
irresistible;diccionario;1;0;0;-5
irresoluto;diccionario;1;0;0;-2
irresponsable;diccionario;0;0;1;5
irreversible;diccionario;0;0;1;5
irritado;diccionario;1;0;0;-2
irritante;diccionario;1;0;0;-2
irritar;diccionario;1;0;0;-1
jackasses;diccionario;0;0;1;1
jactancioso;diccionario;0;0;1;4
jaja;diccionario;0;0;1;4
jajaja;diccionario;0;0;1;2
Jesús;diccionario;1;0;0;-4
jocoso;diccionario;0;1;0;0
jovial;diccionario;1;0;0;-3
joya;diccionario;0;0;1;3
joyas;diccionario;0;0;1;1
jubiloso;diccionario;1;0;0;-4
juguetón;diccionario;0;0;1;2
juicio hipotecario;diccionario;0;0;1;2
jura;diccionario;1;0;0;-3
jurar;diccionario;0;0;1;3
justa;diccionario;0;0;1;1
justicia;diccionario;1;0;0;-2
justificadamente;diccionario;0;0;1;1
justificado;diccionario;0;0;1;1
juvenil;diccionario;0;1;0;0
kills;diccionario;0;0;1;1
Kinder;diccionario;0;0;1;2
la prevención;diccionario;1;0;0;-2
la resolución;diccionario;1;0;0;-1
la seguridad;diccionario;0;0;1;2
ladrón;diccionario;1;0;0;-4
lag;diccionario;0;1;0;0
lágrimas;diccionario;1;0;0;-4
lamentable;diccionario;1;0;0;-1
lamentando;diccionario;0;0;1;4
lamentar;diccionario;0;1;0;0
lánguido;diccionario;1;0;0;-2
lanzado;diccionario;0;0;1;3
lástima;diccionario;1;0;0;-1
lastimoso;diccionario;1;0;0;-2
late;diccionario;1;0;0;-4
latoso;diccionario;0;0;1;5
laughting;diccionario;0;0;1;5
lavado del cerebro;diccionario;1;0;0;-2
lavado verde;diccionario;0;0;1;1
lawl;diccionario;1;0;0;-1
leal;diccionario;0;1;0;0
lealtad;diccionario;0;0;1;1
leer mal;diccionario;0;0;1;1
legal;diccionario;1;0;0;-3
legalmente;diccionario;0;0;1;4
lento;diccionario;0;0;1;3
lesión;diccionario;1;0;0;-3
lesionado;diccionario;1;0;0;-4
letárgico;diccionario;0;0;1;2
letargo;diccionario;1;0;0;-4
libertad;diccionario;0;0;1;3
limitación;diccionario;0;1;0;0
limitado;diccionario;1;0;0;-4
límites;diccionario;1;0;0;-3
limpiador;diccionario;1;0;0;-1
limpiar;diccionario;0;0;1;4
linda;diccionario;0;0;1;3
lío;diccionario;1;0;0;-5
listo;diccionario;0;0;1;1
litigio;diccionario;0;0;1;3
litigioso;diccionario;1;0;0;-1
lívido;diccionario;1;0;0;-4
llanto;diccionario;1;0;0;-5
llantos;diccionario;0;0;1;5
llegar;diccionario;1;0;0;-5
lleno de alegría;diccionario;1;0;0;-1
lleno de savia;diccionario;0;0;1;1
llorado;diccionario;1;0;0;-4
llorando;diccionario;0;0;1;5
llorar;diccionario;0;1;0;0
lluvioso;diccionario;1;0;0;-2
lmao;diccionario;0;0;1;5
lmfao;diccionario;0;0;1;5
lo siento;diccionario;0;0;1;2
loca;diccionario;0;0;1;1
locamente;diccionario;0;0;1;1
loco;diccionario;1;0;0;-3
locos;diccionario;0;0;1;4
locura;diccionario;0;0;1;1
logra;diccionario;1;0;0;-3
lol;diccionario;1;0;0;-2
los spammers;diccionario;1;0;0;-2
lovelies;diccionario;0;0;1;3
lucha;diccionario;0;0;1;3
luchado;diccionario;1;0;0;-5
luchando;diccionario;0;0;1;5
luchas;diccionario;0;0;1;2
lúgubre;diccionario;0;0;1;5
lunático;diccionario;0;0;1;2
luto;diccionario;1;0;0;-5
maduro;diccionario;0;0;1;4
magnífico;diccionario;1;0;0;-2
mal;diccionario;0;0;1;4
mal comportamiento;diccionario;1;0;0;-2
mal humor;diccionario;0;1;0;0
mal informado;diccionario;0;1;0;0
maldición;diccionario;0;0;1;5
Maldita sea;diccionario;1;0;0;-1
maldito;diccionario;1;0;0;-5
malentendido;diccionario;0;0;1;5
males;diccionario;0;0;1;4
malévolo;diccionario;0;1;0;0
malhumorado;diccionario;0;0;1;5
malinterpretado;diccionario;0;0;1;2
malo;diccionario;1;0;0;-2
malvado;diccionario;1;0;0;-4
mancha;diccionario;0;1;0;0
manifestantes;diccionario;0;0;1;1
manipulación;diccionario;1;0;0;-1
manipulado;diccionario;0;1;0;0
maravilla;diccionario;1;0;0;-5
maravillas;diccionario;0;0;1;3
maravilloso;diccionario;1;0;0;-1
mareado;diccionario;1;0;0;-1
maricón;diccionario;0;0;1;2
más baja;diccionario;1;0;0;-1
más brillante;diccionario;0;0;1;5
más divertido;diccionario;1;0;0;-2
más duras;diccionario;1;0;0;-1
más duro;diccionario;1;0;0;-2
más fuerte;diccionario;1;0;0;-1
más inteligente;diccionario;0;0;1;1
más loca;diccionario;1;0;0;-2
más oscura;diccionario;0;0;1;2
más pobre;diccionario;1;0;0;-3
más resistentes;diccionario;0;0;1;5
más sucio;diccionario;0;0;1;2
matar;diccionario;0;0;1;5
matón;diccionario;0;0;1;5
mayor;diccionario;0;0;1;5
me gusta;diccionario;1;0;0;-1
meando;diccionario;0;0;1;3
mear;diccionario;0;1;0;0
medalla;diccionario;0;0;1;2
mediocridad;diccionario;0;0;1;1
meditativo;diccionario;1;0;0;-4
mejor;diccionario;0;0;1;5
mejor que;diccionario;0;0;1;5
mejora;diccionario;1;0;0;-5
mejorado;diccionario;0;1;0;0
mejorando;diccionario;1;0;0;-4
mejorar;diccionario;1;0;0;-1
melancolía;diccionario;0;0;1;4
melancólico;diccionario;0;0;1;2
menospreciado;diccionario;1;0;0;-2
menospreciar;diccionario;0;0;1;2
menosprecie;diccionario;0;0;1;2
mentiroso;diccionario;1;0;0;-5
mentirosos;diccionario;0;0;1;1
mercachifle;diccionario;0;0;1;3
metódico;diccionario;1;0;0;-4
miedo;diccionario;1;0;0;-2
miedoso;diccionario;1;0;0;-1
mierda;diccionario;1;0;0;-1
milagro;diccionario;1;0;0;-1
minado;diccionario;0;0;1;1
minando;diccionario;1;0;0;-2
mintió;diccionario;1;0;0;-1
miope;diccionario;0;0;1;4
miopía;diccionario;0;1;0;0
mirthfully;diccionario;0;0;1;4
miserable;diccionario;1;0;0;-4
miseria;diccionario;0;0;1;2
misericordia;diccionario;0;0;1;1
misterioso;diccionario;0;0;1;3
mito;diccionario;0;0;1;2
moda;diccionario;1;0;0;-1
molesta;diccionario;0;0;1;3
molestado;diccionario;0;0;1;3
molestar;diccionario;1;0;0;-5
molestia;diccionario;1;0;0;-3
molesto;diccionario;1;0;0;-4
mongering;diccionario;0;0;1;4
monopoliza;diccionario;0;0;1;2
monopolizado;diccionario;0;1;0;0
monopolizar;diccionario;0;0;1;3
moping;diccionario;0;0;1;1
mordaz;diccionario;0;0;1;3
mordaza;diccionario;0;0;1;5
morir;diccionario;0;0;1;2
morir de hambre;diccionario;0;0;1;5
motivación;diccionario;1;0;0;-5
motivado;diccionario;0;0;1;1
motivador;diccionario;0;0;1;3
motivar;diccionario;0;0;1;1
muere de hambre;diccionario;1;0;0;-5
muerte;diccionario;1;0;0;-3
muerto;diccionario;1;0;0;-1
multa;diccionario;0;1;0;0
muriendo de hambre;diccionario;1;0;0;-1
murió;diccionario;1;0;0;-1
musaraña;diccionario;0;1;0;0
n00b;diccionario;0;1;0;0
natural;diccionario;1;0;0;-4
necesitado;diccionario;1;0;0;-4
negado;diccionario;0;0;1;1
negador;diccionario;0;0;1;1
negadores;diccionario;0;0;1;3
negando;diccionario;0;0;1;3
negándose;diccionario;1;0;0;-2
negar;diccionario;0;0;1;5
negatividad;diccionario;0;0;1;2
negativo;diccionario;1;0;0;-4
negligencia;diccionario;0;1;0;0
negligencias;diccionario;0;0;1;1
negociar;diccionario;1;0;0;-1
negrita;diccionario;1;0;0;-2
negro;diccionario;1;0;0;-4
nervios;diccionario;0;0;1;3
nerviosamente;diccionario;0;0;1;3
nervioso;diccionario;0;0;1;2
niebla tóxica;diccionario;0;0;1;5
niega;diccionario;0;0;1;2
Niggas;diccionario;1;0;0;-1
no;diccionario;1;0;0;-2
no amable;diccionario;1;0;0;-5
no aprobado;diccionario;1;0;0;-3
no creer;diccionario;1;0;0;-3
no deseado;diccionario;1;0;0;-3
no es divertido;diccionario;1;0;0;-3
no está bien;diccionario;1;0;0;-2
no funciona;diccionario;0;0;1;4
no profesional;diccionario;0;0;1;2
no puede soportar;diccionario;0;1;0;0
no sofisticado;diccionario;0;1;0;0
no te gusta;diccionario;0;1;0;0
noble;diccionario;0;0;1;5
nostálgico;diccionario;1;0;0;-4
notable;diccionario;1;0;0;-4
notorio;diccionario;1;0;0;-4
novato;diccionario;0;1;0;0
novela;diccionario;1;0;0;-5
nubes;diccionario;1;0;0;-2
nublada;diccionario;0;0;1;3
nueces;diccionario;1;0;0;-2
objeto de dumping;diccionario;0;0;1;1
obligado;diccionario;1;0;0;-2
obligatorio;diccionario;1;0;0;-4
obliterado;diccionario;0;0;1;2
obliterar;diccionario;1;0;0;-1
obra maestra;diccionario;1;0;0;-1
obras maestras;diccionario;1;0;0;-2
obsceno;diccionario;1;0;0;-5
obsesionado;diccionario;1;0;0;-5
obsesionante;diccionario;1;0;0;-2
obsoleto;diccionario;1;0;0;-2
obstáculo;diccionario;0;1;0;0
obstáculos;diccionario;0;0;1;2
obstinado;diccionario;0;0;1;3
obstruido;diccionario;0;0;1;1
ocultación;diccionario;0;0;1;4
odiado;diccionario;1;0;0;-4
odiando;diccionario;0;0;1;2
